# vi:set ts=8 sts=8 sw=8 tw=0:
#
# roma2hira.dat - ローマ字→平仮名変換表
# 
# Last Change: 18-Oct-2003.
# Written By:  Muraoka Taro  <koron@tka.att.ne.jp>

# こいつをカスタマイズすることでローマ字の入力方式が変わります。
# 現在はMS-IME2000を参考に決定しています。
# 漢字コードの違いを吸収する役割も果たします。
# xnとxtuには「ん」と「っ」を指定する役割があります。
# {from} {to}の形式です。
# 現在は{from}は最大7バイトまで{to}は6バイトまでとなっています。
# {from}と{to}の間は空白文字(isspace())で区切ります。

# http://asiamoth.com/mt/archives/2006-08/05_2313.php

-	ー
~	～
,	、
.	。
:	ー
[	「
]	」
;	っ
a	あ
ba	ば
bd	べん
be	べ
bh	ぶう
bi	び
bj	ぶん
bk	びん
bl	ぼん
bn	ばん
bo	ぼ
bp	ぼう
bq	ばい
bt	びと
bu	ぶ
bv	びゅう
bw	べい
bx	びょう
bya	びゃ
byj	びゅん
byo	びょ
byp	びょう
byu	びゅ
bz	ばん
ca	ちゃ
cd	ちぇん
ce	ちぇ
cf	ちぇ
ch	ちゅう
ci	ち
cj	ちゅん
ck	ちん
cl	ちょん
cn	ちゃん
co	ちょ
cp	ちょう
cq	ちゃい
cu	ちゅ
cz	ちゃん
da	だ
dch	どぅー
dci	でぃ
dcj	どぅん
dck	でぃん
dcu	どぅ
dd	でん
de	で
df	で
dga	ぢゃ
dge	ぢぇ
dgj	ぢゅん
dgl	ぢょん
dgo	ぢょ
dgq	ぢゃい
dgu	ぢゅ
dgz	ぢゃん
dh	づう
di	ぢ
dj	づん
dk	ぢん
dl	どん
dm	でも
dn	だん
do	ど
dp	どう
dq	だい
dr	である
ds	です
dt	だち
du	づ
dv	ぢゅう
dw	でい
dx	ぢょう
dya	でゃ
dyh	でゅー
dyj	でゅん
dyq	でゃい
dyu	でゅ
dyz	でゃん
dz	だん
e	え
fa	ふぁ
fd	ふぇん
fe	ふぇ
fh	ふう
fi	ふぃ
fj	ふん
fk	ふぃん
fl	ふぉん
fn	ふぁん
fo	ふぉ
fq	ふぁい
fu	ふ
fv	ふゅー
fw	ふぇい
fyh	ふゅー
fyj	ふゅん
fyu	ふゅ
fz	ふぁん
ga	が
gd	げん
ge	げ
gh	ぐう
gi	ぎ
gj	ぐん
gk	ぎん
gl	ごん
gn	がん
go	ご
gp	ごう
gq	がい
gr	がら
gt	ごと
gu	ぐ
gv	ぎゅう
gw	げい
gx	ぎょう
gya	ぎゃ
gyh	ぎゅう
gyj	ぎゅん
gyl	ぎょん
gyo	ぎょ
gyp	ぎょう
gyq	ぎゃい
gyu	ぎゅ
gyz	ぎゃん
gz	がん
ha	は
hd	へん
he	へ
hf	ふ
hga	ひゃ
hgd	ひぇん
hge	ひぇ
hgh	ひゅう
hgj	ひゅん
hgl	ひょん
hgn	ひゃん
hgo	ひょ
hgp	ひょう
hgq	ひゃい
hgu	ひゅ
hgz	ひゃん
hh	ふう
hi	ひ
hj	ふん
hk	ひん
hl	ほん
ho	ほ
hp	ほう
hq	はい
ht	ひと
hu	ふ
hv	ひゅう
hw	へい
hx	ひょう
hya	ひゃ
hyd	ひぇん
hye	ひぇ
hyh	ひゅう
hyj	ひゅん
hyl	ひょん
hyo	ひょ
hyp	ひょう
hyq	ひゃい
hyu	ひゅ
hyz	ひゃん
hz	はん
i	い
ja	じゃ
jd	じぇん
je	じぇ
jf	じゅ
jh	じゅう
ji	じ
jj	じゅん
jk	じん
jl	じょん
jo	じょ
jp	じょう
jq	じゃい
ju	じゅ
jw	じぇい
jz	じゃん
ka	か
kd	けん
ke	け
kf	き
kga	きゃ
kgh	きゅう
kgj	きゅん
kgl	きょん
kgn	きゃん
kgo	きょ
kgp	きょう
kgq	きゃい
kgu	きゅ
kgz	きゃん
kh	くう
ki	き
kj	くん
kk	きん
kl	こん
km	かも
ko	こ
kp	こう
kq	かい
kr	から
kt	こと
ku	く
kv	きゅう
kw	けい
kx	きょう
kya	きゃ
kyh	きゅう
kyj	きゅん
kyl	きょん
kyo	きょ
kyp	きょう
kyq	きゃい
kyu	きゅ
kyz	きゃん
kz	かん
la	ぁ
le	ぇ
li	ぃ
lo	ぉ
ltsu	っ
ltu	っ
lu	ぅ
lwa	ゎ
lya	ゃ
lye	ぇ
lyi	ぃ
lyo	ょ
lyu	ゅ
ma	ま
md	めん
me	め
mf	む
mgn	みゃん
mh	むう
mi	み
mj	むん
mk	みん
ml	もん
mn	もの
mo	も
mp	もう
mq	まい
ms	ます
mt	また
mu	む
mv	みゅう
mw	めい
mx	みょう
mya	みゃ
myh	みゅう
myj	みゅん
myl	みょん
myo	みょ
myp	みょう
myq	みゃい
myu	みゅ
myz	みゃん
mz	まん
na	な
nb	ねば
nd	ねん
ne	ね
nf	ぬ
nga	にゃ
ngh	にゅう
ngj	にゅん
ngl	にょん
ngn	にゃん
ngo	にょ
ngp	にょう
ngq	にゃい
ngu	にゅ
ngz	にゃん
nh	ぬう
ni	に
nj	ぬん
nk	にん
nl	のん
nn	ん
no	の
np	のう
nq	ない
nr	なる
nt	にち
nu	ぬ
nv	にゅう
nw	ねい
nx	にょう
nya	にゃ
nyh	にゅう
nyj	にゅん
nyl	にょん
nyo	にょ
nyp	にょう
nyq	にゃい
nyu	にゅ
nyz	にゃん
nz	なん
o	お
pa	ぱ
pd	ぺん
pe	ぺ
pf	ぽん
pga	ぴゃ
pgh	ぴゅう
pgj	ぴゅん
pgl	ぴょん
pgn	ぴゃん
pgo	ぴょ
pgp	ぴょう
pgq	ぴゃい
pgu	ぴゅ
pgz	ぴゃん
ph	ぷう
pi	ぴ
pj	ぷん
pk	ぴん
pl	ぽん
po	ぽ
pp	ぽう
pq	ぱい
pu	ぷ
pv	ぴゅう
pw	ぺい
px	ぴょう
pya	ぴゃ
pyh	ぴゅう
pyj	ぴゅん
pyl	ぴょん
pyo	ぴょ
pyp	ぴょう
pyq	ぴゃい
pyu	ぴゅ
pz	ぱん
q	ん
ra	ら
rd	れん
re	れ
rh	るう
ri	り
rj	るん
rk	りん
rl	ろん
rn	らん
ro	ろ
rp	ろう
rq	らい
rr	られ
ru	る
rv	りゅう
rw	れい
rx	りょう
rya	りゃ
ryh	りゅう
ryj	りゅん
ryl	りょん
ryo	りょ
ryp	りょう
ryq	りゃい
ryu	りゅ
ryz	りゃん
rz	らん
sa	さ
sd	せん
se	せ
sf	さい
sh	すう
si	し
sj	すん
sk	しん
sl	そん
sn	さん
so	そ
sp	そう
sq	さい
sr	する
ss	せい
st	した
su	す
sv	しゅう
sw	せい
sx	しょう
syi	すぃ
syk	すぃん
sz	さん
ta	た
tb	たび
